actor_name,movie_or_TV_name
Sylvester Morand,Agora
Sylvester Morand,The Seeker: The Dark Is Rising
Sylvester Morand,Ancient Rome: The Rise and Fall of an Empire
Sylvester Morand,The Brief
Sylvester Morand,Pride &amp; Prejudice
Sylvester Morand,Fingersmith
Sylvester Morand,The League of Extraordinary Gentlemen
Sylvester Morand,Ruth Rendell Mysteries
Sylvester Morand,Kavanagh QC
Sylvester Morand,Sharpe
Sylvester Morand,Gulliver's Travels
Sylvester Morand,Degrees of Error
Sylvester Morand,Bergerac
Sylvester Morand,The Brief
Sylvester Morand,Squadron
Sylvester Morand,I Remember Nelson
Sylvester Morand,Play for Today
Sylvester Morand,The Life and Times of David Lloyd George
Sylvester Morand,The Professionals
Sylvester Morand,The Enigma Files
Sylvester Morand,The Brute
Sylvester Morand,Marked Personal
Sylvester Morand,Twelfth Night
Sylvester Morand,And Now the Screaming Starts!
Sylvester Morand,War &amp; Peace
Sylvester Morand,Man at the Top
Sylvester Morand,Callan
Sylvester Morand,The Worker
Sylvester Morand,Mogul
Sylvester Morand,BBC Play of the Month
Sylvester Morand,Out of the Unknown
Sylvester Morand,ITV Sunday Night Drama
Sylvester Morand,Thirteen Against Fate
Sylvester Morand,The Wednesday Play
Sylvester Morand,Pride and Prejudice Revisited
Moya Brady,Schadenfreude
Moya Brady,It's a Sin
Moya Brady,Hollyoaks
Moya Brady,Peterloo
Moya Brady,The Worst Witch
Moya Brady,No Offence
Moya Brady,Crackanory
Moya Brady,Josh
Moya Brady,The King
Moya Brady,Cucumber
Moya Brady,The Best Night of Roxy's Life
Moya Brady,Shameless
Moya Brady,Holby City
Moya Brady,Coming Up
Moya Brady,Trollied
Moya Brady,The Crimson Petal and the White
Moya Brady,Accused
Moya Brady,The Imaginarium of Doctor Parnassus
Moya Brady,The Soloist
Moya Brady,Fairy Tales
Moya Brady,Dalziel and Pascoe
Moya Brady,M.I.High
Moya Brady,Sixty Six
Moya Brady,Doctors
Moya Brady,Casualty
Moya Brady,The Chase
Moya Brady,Scoop
Moya Brady,Doctor Who
Moya Brady,No Angels
Moya Brady,The Gil Mayo Mysteries
Moya Brady,English Patience
Moya Brady,Pride &amp; Prejudice
Moya Brady,My Life as a Popat
Moya Brady,The Knickerman
Moya Brady,The Bill
Moya Brady,The Sportsman
Moya Brady,TV Burp
Moya Brady,Always and Everyone
Moya Brady,The Emperor's New Clothes
Moya Brady,Breathtaking
Moya Brady,Married 2 Malcolm
Moya Brady,My Hero
Moya Brady,Nature Boy
Moya Brady,Gimme Gimme Gimme
Moya Brady,Peak Practice
Moya Brady,Middleton's Changeling
Moya Brady,Loop
Moya Brady,My Son the Fanatic
Moya Brady,Season's Greetings
Moya Brady,Philip's Flashing Finger
Moya Brady,Mary Reilly
Moya Brady,Lloyds Bank Channel 4 Film Challenge
Moya Brady,Inside Victor Lewis-Smith
Moya Brady,The NeverEnding Story III
Moya Brady,Screen Two
Moya Brady,Screen One
Moya Brady,Mr. Wroe's Virgins
Moya Brady,Sawdust for Brains
Moya Brady,Making Out
Moya Brady,Life Is Sweet
Moya Brady,Vroom
Moya Brady,Visiting Mr. Beak
Moya Brady,Little Dorrit
Moya Brady,Screenplay
Moya Brady,Doctor Who
Moya Brady,Hollyoaks
Moya Brady,Doctor Who
Jay Simpson,Temple
Jay Simpson,Stephen
Jay Simpson,Bull
Jay Simpson,King Gary
Jay Simpson,The Nevers
Jay Simpson,Blitz Spirit with Lucy Worsley
Kelly Reilly,Promises
Jay Simpson,All on a Summer's Day
Jay Simpson,Small Axe
Jay Simpson,Enola Holmes
Jay Simpson,Des
Jay Simpson,Sitting in Limbo
Jay Simpson,Call the Midwife
Jay Simpson,Chernobyl
Kelly Reilly,Eight for Silver
Kelly Reilly,Yellowstone
Kelly Reilly,Eli
Kelly Reilly,10x10
Kelly Reilly,Britannia
Kelly Reilly,The Take
Jay Simpson,MotherFatherSon
Jay Simpson,Brexit
Jay Simpson,Frontier
Jay Simpson,The Chemical Brothers: Free Yourself
Jay Simpson,This Little Death
Jay Simpson,Terminal
Jay Simpson,Paul Weller: Alpha
Jay Simpson,Henry IX
Jay Simpson,Rearview
Roy Holder,Dark Heart
Kelly Reilly,True Detective
Kelly Reilly,Black Box
Kelly Reilly,Set Fire to the Stars
Kelly Reilly,Heaven Is for Real
Kelly Reilly,Calvary
Kelly Reilly,Innocence
Kelly Reilly,Chinese Puzzle
Kelly Reilly,A Single Shot
Jay Simpson,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared
Jay Simpson,Their Finest
Jay Simpson,Silent Witness
Jay Simpson,Cradle to Grave
Jay Simpson,Not Going Out
Jay Simpson,The Game
Jay Simpson,Hoodies vs. Hooligans
Jay Simpson,Silk
Jay Simpson,Talking to the Dead
Jay Simpson,The Guilty
Roy Holder,War Horse
Roy Holder,Spilt Milk
Roy Holder,Robin Hood
Roy Holder,Law &amp; Order: UK
Roy Holder,Sense &amp; Sensibility
Roy Holder,Waking the Dead
Roy Holder,Kenneth Williams: Fantabulosa!
Kelly Reilly,Flight
Kelly Reilly,Above Suspicion
Kelly Reilly,Sherlock Holmes: A Game of Shadows
Kelly Reilly,Citizen Gangster
Kelly Reilly,Ti presento un amico
Kelly Reilly,Meant to Be
Kelly Reilly,Sherlock Holmes
Kelly Reilly,Triage
Kelly Reilly,Me and Orson Welles
Kelly Reilly,Eden Lake
Jay Simpson,Rush
Jay Simpson,Run
Jay Simpson,The Magnificent Eleven
Jay Simpson,Welcome to the Punch
Jay Simpson,Utopia
Jay Simpson,Him &amp; Her
Jay Simpson,Wonder
Jay Simpson,Mrs Biggs
Jay Simpson,Acts of Godfrey
Jay Simpson,Ellie
Roy Holder,All About George
Roy Holder,Pride &amp; Prejudice
Roy Holder,EastEnders
Roy Holder,Murder City
Roy Holder,Tooth
Roy Holder,Keen Eddie
Roy Holder,Doctors
Roy Holder,Bugs
Roy Holder,The Bill
Kelly Reilly,He Kills Coppers
Kelly Reilly,Joe's Palace
Kelly Reilly,Puffball: The Devil's Eyeball
Kelly Reilly,A for Andromeda
Kelly Reilly,Mrs. Henderson Presents
Kelly Reilly,Pride &amp; Prejudice
Kelly Reilly,Russian Dolls
Kelly Reilly,The Libertine
Jay Simpson,Black Mirror
Jay Simpson,Wild Bill
Jay Simpson,Dreams of a Life
Jay Simpson,Law &amp; Order: UK
Jay Simpson,Shifter
Jay Simpson,Age of Heroes
Jay Simpson,The Suspicions of Mr Whicher
Jay Simpson,Blueberry
Jay Simpson,Hattie
Roy Holder,Cynthia Payne's House of Cyn
Roy Holder,Pride and Prejudice
Roy Holder,Outside Edge
Roy Holder,Blue Heaven
Roy Holder,Middlemarch
Roy Holder,The Upper Hand
Kelly Reilly,Poirot
Kelly Reilly,Dead Bodies
Kelly Reilly,The Safe House
Kelly Reilly,The Spanish Apartment
Kelly Reilly,Starched
Kelly Reilly,Last Orders
Kelly Reilly,Peaches
Kelly Reilly,Maybe Baby
Kelly Reilly,Sex 'n' Death
Kelly Reilly,Wonderful You
Kelly Reilly,Children of the New Forest
Jay Simpson,Round Ireland with a Fridge
Jay Simpson,Thomas
Jay Simpson,Casualty
Jay Simpson,The Bill
Jay Simpson,Heartbeat
Jay Simpson,Hotel Babylon
Jay Simpson,Shifty
Jay Simpson,Foyle's War
Jay Simpson,Ashes to Ashes
Roy Holder,The Les Dennis Laughter Show
Roy Holder,The Little and Large Show
Roy Holder,The Case-Book of Sherlock Holmes
Roy Holder,Billy Webb's Amazing Story
Roy Holder,Home James!
Roy Holder,Precious Bane
Roy Holder,Mack the Knife
Roy Holder,Arctic Warriors
Kelly Reilly,"The History of Tom Jones, a Foundling"
Kelly Reilly,Pie in the Sky
Kelly Reilly,Rebecca
Kelly Reilly,Sharman
Kelly Reilly,Poldark
Kelly Reilly,Bramwell
Kelly Reilly,Ruth Rendell Mysteries
Jay Simpson,White Girl
Jay Simpson,Mrs in-Betweeny
Jay Simpson,Primeval
Jay Simpson,Young Offender
Jay Simpson,The Sarah Jane Adventures
Jay Simpson,Secret Diary of a Call Girl
Jay Simpson,Hush Your Mouth
Jay Simpson,Peep Show
Jay Simpson,Recovery
Roy Holder,Sorry!
Roy Holder,Double First
Roy Holder,Coronation Street
Roy Holder,Star Cops
Roy Holder,The Day After the Fair
Roy Holder,"Dodger, Bonzo &amp; the Rest"
Roy Holder,Out of the Darkness
Roy Holder,Eh Brian! It's a Whopper
Roy Holder,The Invisible Man
Roy Holder,Doctor Who
Roy Holder,Juliet Bravo
Kelly Reilly,Prime Suspect: The Scent of Darkness
Kelly Reilly,Prime Suspect: Inner Circles
Kelly Reilly,The Biz
Kelly Reilly,Black Box
Kelly Reilly,Made in Hollywood
Kelly Reilly,Celebrity Page
Kelly Reilly,Heaven is for Real: Answers
Kelly Reilly,Heaven is for Real: Heart of the Movie
Kelly Reilly,The Making of 'Heaven Is For Real'
Jay Simpson,Rome
Jay Simpson,The Holiday
Jay Simpson,Soundproof
Jay Simpson,Comedy Lab
Jay Simpson,Free Jimmy
Jay Simpson,Holby City
Roy Holder,Angels
Roy Holder,Grandad
Roy Holder,Spearhead
Roy Holder,Play for Today
Roy Holder,Terry and June
Roy Holder,Time of My Life
Roy Holder,Penmarric
Roy Holder,The Dawson Watch
Kelly Reilly,The View
Kelly Reilly,Good Morning America
Kelly Reilly,Sherlock Holmes: A Game of Shadows: Guy Ritchie's Well Oiled Machine
Kelly Reilly,The Making of 'Russian Dolls'
Kelly Reilly,Mrs Henderson Presents: Making of
Kelly Reilly,The World's Greatest Actor
Kelly Reilly,The Stately Homes of Pride &amp; Prejudice: Basildon Park
Kelly Reilly,La nuit des Césars
Kelly Reilly,Le grand journal de Canal+
Carey Mulligan,Fingernails
Jay Simpson,Pride &amp; Prejudice
Jay Simpson,New Tricks
Jay Simpson,The I Inside
